severity,severity_final,length,recDate,dispDate,ocat
5,5,108,18645,18753,1
3,3,87,18645,18732,1
2,5,170,18645,18815,1
2,5,1129,18645,19774,1
5,5,252,18645,18897,1
5,5,177,18645,18822,1
1,1,158,18633,18791,5
5,5,29,18643,18672,5
5,5,1903,18642,20545,5
3,3,37,18645,18682,3
4,7,218,18645,18863,1
5,5,373,18645,19018,1
2,2,218,18645,18863,5
5,5,163,18645,18808,1
3,5,323,18645,18968,1
2,2,64,18645,18709,1
2,2,686,18645,19331,1
5,5,59,18645,18704,3
4,5,175,18645,18820,1
4,4,45,18630,18675,5
2,2,268,18645,18913,1
4,4,30,18645,18675,5
5,5,351,18645,18996,5
3,6,36,18645,18681,5
2,2,114,18645,18759,5
2,2,127,18645,18772,5
3,3,177,18645,18822,5
3,3,177,18645,18822,5
3,3,552,18645,19197,5
5,5,246,18645,18891,5
5,5,153,18645,18798,5
5,5,22,18645,18667,5
2,2,41,18646,18687,5
1,1,107,18637,18744,1
5,5,28,18646,18674,5
3,6,163,18646,18809,5
0,0,1176,18645,19821,4
5,5,27,18646,18673,2
5,5,51,18646,18697,1
3,3,316,18646,18962,3
4,4,360,18641,19001,3
2,2,99,18645,18744,5
1,5,1017,18646,19663,1
5,6,146,18646,18792,5
5,5,414,18646,19060,5
3,3,113,18646,18759,5
4,4,133,18646,18779,5
2,2,207,18642,18849,1
3,3,77,18645,18722,5
2,5,230,18646,18876,1
2,2,104,18646,18750,1
3,3,145,18646,18791,5
5,5,69,18646,18715,1
5,5,344,18646,18990,1
4,6,573,18641,19214,5
3,4,68,18646,18714,5
2,3,315,18646,18961,5
2,5,328,18646,18974,1
3,3,105,18645,18750,5
4,4,92,18646,18738,5
5,5,319,18646,18965,1
2,2,381,18644,19025,1
5,5,140,18646,18786,1
4,4,195,18646,18841,5
3,6,203,18646,18849,5
2,2,328,18646,18974,1
2,5,197,18646,18843,1
5,5,188,18646,18834,2
2,2,140,18646,18786,1
2,5,106,18646,18752,1
4,4,225,18637,18862,1
